Instance,Submission Date,Submitter,Duration,Rating,12953032|Name of the School,13003027|School Code,13043041|Name of the District,13053030|Name of the Block / Urban Ward,13003029|School Type,12943038|School Category,13823002|Medium of instructions,13023041|School residential status,12993037|Social composition of school,13073002|Type of School,13063025|Number of Girls enrolled,13053032|Number of Boys enrolled,Total students,13053033|Number of enrolled girls present,13023042|Number of enrolled boys present,Total students present,% attendance girls,% attendance boys,% attendance total,13053034|Number of  CWSN enrolled,13923010|Number of teachers sanctioned,13023043|Total teachers appointed (permanent) in the school,% OF SANCTIONED TEACHERS APPOINTED,Student /teacher (permanent) ratio,13063026|Number of female permanent teachers,13033039|Number of male permanent teachers,13923057|Number of Fulltime contractual (teaching staff),13853046|Number of Part-time contractual (teaching staff),13853012|Number of para teachers,Total appointed permanent teachers and other teachers,Student/ teacher ratio (appointed permanent teachers and other teachers),Pupil-Teacher Ratio,12983027|Is anyone else teaching on behalf of government appointed teachers?,12923036|How many such sub-contract (tikkedari) teachers are there,12943040|Number of teachers (all types) present on the day of survey,13873029|Number of permanent non-teaching staff,18213034|Number of contractual non-teaching staff,School development Plan submitted,13093001|Teachers for Classes I-V as per guidelines,13123001|Teachers for Classes VI- VIII as per guidelines,13123002|Separate teacher for science in Classes VI-VIII,13163001|Separate teacher for maths in Classes VI-VIII,13153001|Separate teacher for social studies in Classes VI-VIII,13143001|Separate teacher for languages in Classes VI-VIII,13203002|Special educators for CWSN,13163002|Special counsellors for CWSN in school/circle,13183002|How many teachers have attended/attending in-service Teachers’ Training?,% teachers have attended/attending in-service Teachers’ Training?,13143004|Number of MTA conducted in the last 12 months,18193026|Number of PTA conducted in the last 12 months,13833004|Has any teacher received training on Special Training Program,14093001|Does the school run the Special training program,13223002|Select the infrastructural facility the school has:,Library Available,Playground Available,Store,Office cum Head teacher's room,Classrooms,All-weather building,13173003|Total number of classrooms,student / classroom ratio,13093003|Number of classrooms in good teaching condition,13103003|Number of classrooms that need major repair,13223004|Number of classrooms that need minor repairs,13153002|Is the library functional,13213002|How many toilets does the school have?,Student / toilet ratio,13163004|How many urinals does the school have?,Total toilets + urinals,Student / toilets n urinals ratio,Toilets available and fuctional,Separate toilets available for girls,13113004|Total number of toilets and urinals for boys,13143006|Total number of toilets and urinals for girls,13123004|Are the toilets functional / usable and have water?,14093074|Number of common toilets,13143007|Total number of toilets for male teachers,13113005|Total number of toilets for female teachers,Schools with separate toilets for female teachers,13093006|Is there a CWSN friendly toilet,13113006|Is there a ramp with handrails?,13133002|Is there a handwashing facility available near the toilet?,13103004|Is there soap available for hand-washing on the day of the visit?,13093007|Is there a facility for drinking water available in the school?,13113007|What is the primary source of drinking water facility?,Drinking water facility available and functional,13133004|Has the school drinking water been tested?,13103008|Were the parameters for water safety found to be within permissible limits?,,13223009|Is the Mid day Meal provided in the school?,Mid day meal provided,13143009|Status of the school kitchen,13153006|Select the  source of MDM,13133006|Is the MDM available on all school days as per the menu chart?,Teaching learning material distributed,18203020|Have the free textbooks been distributed on the first month of the academic session,13193005|Disability aids (monetary grant) distributed to CWSN,13153007|Uniform distributed,17303022|Have the uniform been distributed in the first month of the academic session,13913012|Teaching learning material available for CWSN,20153034|Does the school have an SDC,13913011|Does the school have an SMC,13153008|Have the SMC members been identified through an election process?,13213007|Have the RtE norms for election been followed  for constitution of the SMC?,13123009|Have the SMC members received any training?,"13203009|If yes, who trained SMC members?",13213008|Does the SMC pepare the School Development Plan?,13103014|Does the SMC  Monitor the functioning of the school?,13203010|Does the SMC monitor the utilisation of grants by the school?,13933059|New school buildings,14083037|Additional classroom,13893031|Sanitation facilities / toilets,13933060|Drinking water facilities,13923056|Library,13913051|Incinerator,13913050|Teaching learning material,13833032|New school buildings,13933093|Additional classroom,13913067|Sanitation facilities / toilets,14103032|Drinking water facilities,13923066|Library,13843013|Incinerator,13833033|Teaching learning material,17183001|Maintenance,17193001|School Development grant,13913037|Picture of the toilet,17193003|Picture of girls toilet,13923034|Check toilet doors,13913038|Is there urine/feaces on the floor/seat/walls/etc. of the toilet?,13923055|Photo of water point,18203066|Photo of second water point,Lat,Long,--GEOELE--|Elevation,--GEOCODE--|Geo Code,13923011|Photo of school building with name prominently visible,
19233028,30-04-2014 07:49:09 UTC,mithu,0.014791667,,sanghamitra vidyalaya,19170108322,Kolkata,Ward 80,Primary (Class IV),Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority,Co-education,185,249,434,128,162,290,69,65,67,3,11,11,100,39,4,7,0,0,4,15,29,Yes,No,,11,11,,No,Not Available,NA,NA,NA,NA,NA,Not Available,Available,4,36,4,,Yes,Yes,All-weather building|Classrooms|Office cum Head teacher's room|Store|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water,No,Yes,Yes,Yes,Yes,Yes,,#VALUE!,,,,,4,109,10,14,31,Yes,Yes,2,2,Yes,,1,1,Yes,Yes,yes,Yes,,Yes,Tap inside the school,Yes,Yes,No,,Available to all children,Yes,MDM provided but not prepared in school premise,NGO,Yes,No,,No,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8350,5000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto50402996084636.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto50377285661312.jpg,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto50454646334616.jpg,,22.54219608,88.30998985,-25.7,srkobdqz,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto50678791436197.jpg,56debc33f726f7e4e4f051dee3b9d74e
17163133,24-04-2014 09:38:53 UTC,Ashis Kumar Roy,0.042303241,,J K S M high schoo coed  58 KMC WARD,19170106122,Kolkata,Ward 58,V to XII,spns,Bangla,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,210,400,130,143,273,68,68,68,10,6,5,83,80,1,4,0,0,3,8,50,No,No,,5,8,,No,Not Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,8,160,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,Yes,6,67,10,16,25,Yes,Yes,3,3,Yes,,1,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Self-help group,Yes,Yes,,No,No,,Yes,,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,0,0,0,0,0,70000,0,7000,10000,0,0,0,40000,0,,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3634258416329.jpg,,Doors (enough to provide privacy),No,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3689416797991.jpg,,22.5539727,88.39587154,-43.7,ss45o112,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto3925570997969.jpg,b4e866913b111fc8774fd3246baf29ed
15243001,25-04-2014 07:47:28 UTC,nayan/arshad,0.036516204,,Sri Sambhu Sadan Vidyalaya,19170108308,Kolkata,Ward 80,I-v,Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority,Co-education,190,222,412,97,86,183,51,39,44,1,5,5,100,82,1,4,15,0,5,25,16,Yes,Yes,0,6,15,,No,NA,NA,NA,NA,NA,NA,Not Available,Not Available,4,80,4,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,No,No,No,Yes,Yes,Yes,,#VALUE!,,,,,10,41,7,17,24,Yes,Yes,4,3,,,2,2,No,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Functional,,Yes,Yes,,Yes,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,8350,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto36445444306581.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto36520113056573.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto36649906638228.jpg,,22.51444799,88.31190963,-54.7,sqas5i27,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto37099662183186.jpg,9ee658746db0b112ff213de8feafdf95
16513124,09-07-2014 08:56:59 UTC,Suhita,0.036747685,,KMCP school 7/1 kulia tangra 2nd lane,19170106019,Kolkata,Ward 57,Primary (Class IV),Government,Bangla,Non-residential,General,Co-education,23,33,56,7,15,22,30,45,39,0,3,2,67,28,1,1,0,1,0,3,19,Yes,No,,2,0,1,No,Available,NA,NA,NA,NA,NA,NA,NA,2,100,0,0,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Boundary Wall/fencing|Fire safety|Toilet|tap water without filter,No,No,No,Yes,Yes,Yes,5,11,,0,,,2,28,0,2,28,Yes,No,,,Yes,2,2,2,No,No,,No,No,No,,No,,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,NGO,No,Yes,No,No,Yes,No,No,No,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto7590081010434.jpg,,Doors (enough to provide privacy),Could not observe toilets,,,22.55832793,88.38876354,-55.5,ssbcnl4f,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto7934711542067.jpg,39e42182d3fb3724fa3d6a2360d158
21233058,30-04-2014 07:03:44 UTC,nayan/arshad,0.015358796,,Taratala Adarsh Vidyalaya,170108332,Kolkata,Ward 80,Primary with Upper Primary (Class I - VIII),Government Aided,Hindi,Non-residential,General|Minority,Co-education,36,34,70,19,15,34,53,44,49,0,6,1,17,70,1,0,0,0,0,1,70,No,No,,1,2,,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NA,Not Available,0,0,2,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Boundary Wall/fencing|Toilet|Drinking water,No,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,3,23,3,6,12,Yes,Yes,1,1,No,,0,1,yes,No,,No,No,Yes,Tap inside the school,Yes,No,NA,,Not at all available,No,,,,No,,No,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto1071736716570.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto1114506716566.jpg,Doors present but broken,Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto1168889771560.jpg,,22.51247048,88.31360228,-50.2,sq7iv3wg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto1462505303200.jpg,311a1025357d127a56af81fb418ca4
22613009,01-07-2014 07:53:40 UTC,Suhita,0.035949074,,jeeva shiva mission k.c girls high school,19170106127,Kolkata,Ward 58,41917,Government Aided,Bangla,Non-residential,SC|General|Minority,Girls,217,0,217,78,0,78,36,NA,36,0,22,10,45,22,10,0,0,0,0,10,22,Yes,No,,9,2,0,Yes,NA,Not Available,Not Available,Not Available,Not Available,Available,NA,NA,10,100,4,3,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Boundary Wall/fencing|Fire safety|Toilet|Drinking water|school hallway,Yes,No,Yes,Yes,Yes,Yes,11,20,,2,,Yes,12,18,7,19,11,Yes,Yes,0,6,Yes,,1,6,Yes,No,,Yes,,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Self-help group,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Government,Yes,Yes,Yes,0,0,60000,0,0,0,0,0,0,0,0,0,0,3500,190433,17000,,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto59447059758050.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto59355364489726.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto59418009198053.jpg,22.55131924,88.37721547,-50.2,srzrapz0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto59661502098030.jpg,51eba837137eb0995b40f839e65325f2
15243096,29-04-2014 14:38:37 UTC,nayan/arshad,0.0225,,Shri Jnan Bhaskar Vidyalaya,19170108214,Kolkata,Ward 79,Secondary (I-X or VI-X),Government Aided,Hindi,Non-residential,SC|ST|OBC|General|Minority,Boys,0,575,575,0,195,195,NA,34,34,6,27,14,52,41,6,8,0,0,0,14,41,No,No,,13,27,,No,NA,Not Available,Available,Available,Available,Available,NA,Available,3,21,6,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Library|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water| Computer lab,Yes,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,8,72,12,20,29,Yes,NA,,,Yes,0,0,1,Yes,No,,No,No,Yes,Tap inside the school,Yes,No,NA,,Available to all children,Yes,Classroom used as kitchen,,Yes,No,,No,Yes,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6560305365252.jpg,,Doors (enough to provide privacy),Toilet locked,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto6727116301902.jpg,,22.5362738,88.31658715,-51.2,sravurod,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto7103229145200.jpg,a34523548d9877ee182e46988e7b779
19223102,29-04-2014 15:19:13 UTC,nayan/arshad,0.018576389,,Shri Shanti Niketan Vidyalaya,19170108323,Kolkata,Ward 80,Primary with Upper Primary (Class I - VIII),Government Aided,Hindi,Residential for boys,SC|ST|OBC|General|Minority,Boys,0,205,205,0,107,107,NA,52,52,0,13,10,77,21,2,8,0,0,0,10,21,Yes,No,,3,12,,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,0,0,3,,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Store|Barrier free access|Boundary Wall/fencing|Fire safety|Toilet|Drinking water,No,No,Yes,Yes,Yes,Yes,,#VALUE!,,,,,2,103,4,6,34,Yes,NA,,,Yes,0,1,1,Yes,No,,No,No,Yes,Tap inside the school,Yes,Yes,No,,Available to all children,Yes,Classroom used as kitchen,,Yes,No,,No,No,,No,,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,7500,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto8877147591697.jpg,,Doors present but broken,Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto8958635115022.jpg,,22.54985763,88.32440903,-61.2,srxcdf8s,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto9159614901670.jpg,27427e7ed0e88f92f639d2de25155d2
17633024,11-06-2014 05:16:14 UTC,Suhita,0.046655093,,Sanat Roy Chowdhury Institution for Girls,19170106123,Kolkata,Ward 58,class 5 - 10,Government Aided,Bangla,Non-residential,SC|ST|OBC|General|Minority,Girls,582,0,582,454,0,454,78,NA,78,2,19,16,84,36,16,0,0,0,3,19,31,Yes,No,,19,2,1,No,NA,Not Available,Available,Available,Available,Available,Available,Available,3,19,1,6,No,No,All-weather building|Classrooms|Office cum Head teacher's room|Boundary Wall/fencing|Playground|Fire safety|Toilet|Drinking water|Computer room cum library,Yes,Yes,No,Yes,Yes,Yes,13,45,,0,,,9,65,8,17,34,Yes,Yes,0,10,Yes,,0,1,Yes,No,,Yes,,Yes,Tap inside the school,Yes,Yes,Yes,,Available to all children,Yes,MDM provided but not prepared in school premise,Self-help group,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,520000,65000,0,0,0,0,10000,67000,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto20440301927317.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto20459793885647.jpg,Doors (enough to provide privacy),Yes,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto20525505002308.jpg,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto20559968517304.jpg,22.55368195,88.38457086,-38.2,ss3oeged,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto20958370925600.jpg,28e4e63932b5b68aee23a5c18057439b
23383003,10-06-2014 06:00:04 UTC,Suhita,0.008993056,,kasturba Harijan Vidyala.,19170106117,Kolkata,Ward 58,class 1-5,Government Aided,Hindi,Non-residential,SC|OBC|General,Co-education,59,62,121,16,16,32,27,26,26,2,4,4,100,30,2,2,0,0,0,4,30,Yes,No,,2,0,0,No,Not Available,NA,NA,NA,NA,NA,Not Available,Available,1,25,0,12,No,No,Classrooms,No,No,No,No,Yes,No,1,121,,1,,,0,0,0,0,0,Yes,No,,,No,0,0,0,No,No,,No,No,No,,No,,NA,,Available to all children,Yes,MDM provided but not prepared in school premise,Central Kitchen,Yes,Yes,Yes,Yes,No,No,No,Yes,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,10000,20000,,,,,,,22.55771297,88.38338461,-48.5,ssacc56h,http://akvoflow-3.s3.amazonaws.com/images/wfpPhoto5698803798293.jpg,c664cec9a6ca38ec4fa2f888acf61f6
