Instance,Submission Date,Submitter,Lat,Long,UniqueCode,District,14273350|Interviewee,School_Name,14273351|What kind of public institution is this?,Category,Type,14283355|Photo of Water Point,Improved_Water,14274381|What is the type of the water point/system?,14282353|What is the type of the water point?,14276355|Does the public institution have its own water point or does it share one with the community?,14274384|How many student/patients/patrons/staff use this water point/system?,14281365|Do any other community members use this water point/system?,14279375|How many additional community members use this water point/system?,14278375|What year was the water point/system constructed or rehabilitated?,14286350|Is the water point part of a Water For People supported project?,14275349|What role did Water For People play?,Enough_Water,14282355|Why doesn't the source provide enough water every day?,14283361|What months are there shortages?,14286354|How many hours a day is water available?,14277350|Is any water treatment done at the water point/system?,14280335|What water treatment is being done?,14282359|Has the water system been down for more than 1 day in the last 30 days (except for routine maintenance)?,14281370|How many days did it take to get it repaired?,14276364|Why was the system down for more than 1 day?,14273360|Have any major repairs been completed on the point/system in the past year?,14274390|What was repaired/replaced?,14275352|How much did the repairs cost?,14273361|Are there any current problems with the system that require attention?,14284364|What is the current problem?,14285366|Is water available from the system on the day of the visit?,14282364|Why isn't water available from the system on the day of the visit?,14276370|Was the Residual Chlorine within the permissible limit?,14285370|Residual Chlorine,14286366|Does the quantity of water available on the day of the visit meet government standards?,14237503|Why is there an inadequate amount of water?,14280345|Where does the money come from to operate and maintain the water point/system?,14281378|Photo of Sanitation Technology,14274397|Does the public institution have an improved sanitation facility?,14281379|What is the type of the improved sanitation technology?,14278388|What type of unimproved sanitation does the public institution use?,14273370|In what year was the sanitation technology implemented?,14278389|How many latrines are there for girls?,14276373|How many urinals are there for girls?,14237506|How many latrines are there for boys?,14273371|How many urinals are there for boys?,14281380|How many unisex latrines are there?,14279392|Is there evidence that the latrines are being used?,Funtioning_Optimally,14275367|What are the current problems?,Clean,Water_available,Soap_Available,14286373|When do you wash your hands with soap or other cleansing agent?,14281382|Is this a secondary school?,14284374|Is there any changing room attached with the sanitation block?,14286375|Is there any incinerator attached with the changing room?,Sanitary_Napkin,14274402|Is there utensil washing station available?,14277363|Is there any bathing enclosure in the toilet block or school?
20626557,13-09-2013 06:41:45 UTC,ss sagar samir maity,21.74161066,88.07596804,rqsnujsn,South 24 Parganas,shikha rani gana.manna,naraharipur mahakali sishusadan f.p.school,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto16741579747719.jpg,Yes,PHE 6 Handpump,,Shares the community water point/system,112,Yes,200,2002,Yes,Software/Capacity Building/Training,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,No,Long Down Times,School Budget|Community Water Committee,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto16470778600039.jpg,Yes,Improved Pit Latrine,,2010,1,1,1,2,0,No,Yes,Structural Problems,No,No,No,After Defecating|After Eating|Before Cooking|Before Eating,No,,,,No,
20145010,18-09-2013 10:14:26 UTC,NAIHATI PROLIFE,22.8492385,88.62751514,t5ogoq83,North 24 Parganas,Banibrata Roy,Kalyangarh Bidhan Chandra Bidyapith,School,Boys,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto1764869122528.jpg,Yes,Municipality paip line,,Has its own water point/system,947,No,,2010,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget|PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto1702022381811.jpg,Yes,Flush Toilet,,2010,0,0,4,12,0,Yes,No,,No,Yes,Yes,After Defecating|After Eating|Before Cooking|Before Eating|After Handling Livestock,Yes,Yes,Yes,,Yes,No
20114422,29-08-2013 08:00:15 UTC,Manikjore,21.92451491,87.69165412,rz758n5g,East Medinipur,Uma Rani Giri.,Kalmichhabar Haturia Dalbar P.S. Girls School,School,Girls,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto4655095898712.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,230,Yes,30,2011,No,,Yes,,,,No,,Yes,2,No Plumber/No one knows how to fix,No,,,No,,Yes,,Not Applicable,,Yes,,PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto5066151105013.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2011,3,3,0,0,0,Yes,No,,Yes,Yes,Yes,After Defecating|After Eating|Before Cooking|Before Eating|After Cleaning a Baby's Bottom,Yes,Yes,Yes,Yes,No,Yes
20493958,11-01-1980 05:38:04 UTC,null,21.85264464,88.37942725,rvwaafrm,South 24 Parganas,MahadabManna,Indraprastha FP School,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto25067504088317.jpg,Yes,Mark II,,Has its own water point/system,34,Yes,30,2010,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto25822061644473.jpg,Yes,Pour Flush Latrine,,2006,18,18,16,16,2,Yes,No,,No,Yes,Yes,After Eating,No,,,,No,
20111426,29-08-2013 09:41:13 UTC,Manikjore,21.91983331,87.74064889,ryzelsf2,East Medinipur,Shyamsundar Manna.,Pausi Baikuntha Smriti Milani Vidyamandir,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto8181972669068.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,712,Yes,100,2010,Yes,Technical Advice|Software/Capacity Building/Training|Finance,Yes,,,,No,,Yes,2,Power Prodlem,No,,,No,,Yes,,Not Applicable,,Yes,,PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto8370748944705.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2010,2,4,2,6,0,Yes,No,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
20707295,05-08-2011 23:47:02 UTC,null,21.66536707,88.08557569,rnak4c7r,South 24 Parganas,Ajitesh Kumar Manna,Golokpur Niradamayee FP School,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto354366912844.jpg,Yes,Mark II,,Has its own water point/system,89,Yes,200,2011,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto594190887454.jpg,Yes,Improved Pit Latrine,,2012,1,2,1,2,0,Yes,No,,No,Yes,Yes,After Defecating|Before Eating,No,,,,Yes,
19640131,21-08-2013 07:51:18 UTC,Cecilia,22.56281197,88.3512547,ssirz7g8,East Medinipur,sadesh ranjan bera,kultha sarada sikshasadan high school,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto211762066769.jpg,Yes,Mark II,,Has its own water point/system,426,No,,2012,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget|PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto284853802605.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2012,2,4,2,5,0,Yes,No,,No,Yes,Yes,After Defecating|Before Cooking|Before Eating,Yes,Yes,Yes,Yes,No,Yes
20699581,30-09-2013 16:13:55 UTC,test,22.95449082,88.84222208,taijlhgm,North 24 Parganas,BENU TARAFDER,SABAIPUR ADARSHA VIDYAPITH,School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto1391715466454.jpg,Yes,PHE 6 Handpump with AMAL filter,,Has its own water point/system,488,No,,2011,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,Yes,Filtration,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto491918348016.jpg,Yes,Pour Flush Latrine,,2004,2,3,2,8,0,Yes,No,,No,Yes,No,After Defecating|After Eating|Before Cooking|Before Eating|After Handling Livestock,Yes,No,No,No,No,No
19646087,23-08-2013 07:13:50 UTC,null,22.82811241,88.58467547,t4pj989i,North 24 Parganas,Uday Chandra Mondal,Dantari Junior Basic School,School,Co-education,Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto23779076738478.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,180,No,,2012,Yes,Technical Advice|Hardware|Software/Capacity Building/Training|Finance,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,Teacher funded,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto23370357561232.jpg,Yes,Pour  Flush Toilet with Septic Tank,,2012,1,2,1,2,0,Yes,No,,No,Yes,Yes,After Defecating|After Eating|Before Eating,No,,,,Yes,
20239677,08-05-2011 15:45:55 UTC,Council For Rural Welfare,21.81567074,87.68553644,ru756qyf,East Medinipur,Tapas Kumar Bera,Uttarkhasda Ideal Academy (High School),School,Co-education,Non-Primary,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto443096069340.jpg,Yes,Gravity Fed System with Pump,,Has its own water point/system,226,No,,2013,No,,Yes,,,,No,,No,,,No,,,No,,Yes,,Not Applicable,,Yes,,School Budget|PTA/WATSAN fund,http://waterforpeople.s3.amazonaws.com/images/wfpPhoto221893859865.jpg,Yes,Pour Flush Latrine|Pour  Flush Toilet with Septic Tank,,2013,1,4,1,4,0,Yes,No,,No,Yes,Yes,After Defecating|After Eating|Before Eating,Yes,Yes,Yes,Yes,Yes,Yes
